cluster_id,class_id,excess_q50_loss,excess_q50_loss_ci_low,excess_q50_loss_ci_high,loss_above_practical_threshold_pvalue,loss_above_practical_threshold_global_fdr,leave_one_style_out_min_effect,is_task_transfer_blindspot
C5-F35,5,0.06004494110973649,0.037849606215820626,0.08204791408476568,0.18290854572713644,0.5433459740717876,0.05736886120059272,0
C3-F37,3,0.05676720430704562,0.0411444987382381,0.07353856309585394,0.20189905047476261,0.5826229742271721,0.05419254794574183,0
C5-F16,5,0.05593399222669265,0.03540544464971818,0.07547174207004469,0.25537231384307846,0.6787527288987085,0.053479567811666996,0
C3-F29,3,0.05529047487768855,0.02547722275904878,0.08281797164243689,0.35782108945527236,0.8941243663882344,0.053175103228894426,0
C5-F25,5,0.05466330289356768,0.027403154276403323,0.08374918288196857,0.3658170914542729,0.8941243663882344,0.05036470847457524,0
C5-F33,5,0.05458661764974195,0.031054880679763606,0.08209490587973774,0.37181409295352325,0.8941243663882344,0.05181394673198429,0
C6-F19,6,0.053805163179594,-0.019501868598445115,0.11637582491452794,0.41879060469765117,0.9836709552200644,0.049444401407442794,0
C5-F13,5,0.05252427362299339,0.01874888623388175,0.08859662897719216,0.4382808595702149,0.9836970403687045,0.04826342973537081,0
C5-F04,5,0.05080409859925753,0.034375355358191924,0.06688986982001167,0.4292853573213393,0.9836970403687045,0.048992308045232594,0
C5-F27,5,0.04972699290539902,0.023968545931782007,0.07493576568517656,0.49525237381309345,1.0,0.04606360260157508,0
C3-F07,3,0.04888949673382099,0.032197895920270156,0.06571438815793497,0.5362318840579711,1.0,0.047249140162844976,0
C6-F04,6,0.04820021075448156,0.00766375180724892,0.07800077339785781,0.4612693653173413,1.0,0.04584838627120043,0
C5-F09,5,0.04799517750854246,0.02671518907195401,0.06979694085889306,0.5557221389305347,1.0,0.045742214414631076,0
C5-F30,5,0.0474921926375509,0.028499100546018372,0.06830654133072404,0.6251874062968515,1.0,0.045854559037231644,0
C6-F14,6,0.046853208291366466,-0.03342000391588825,0.12309143843299573,0.5132433783108445,1.0,0.0425098357268602,0
C3-F36,3,0.04471579825684273,0.02629950421843145,0.06324458868575095,0.7261369315342329,1.0,0.04303123989039437,0
C3-F09,3,0.04458353218828632,0.030665015519106942,0.059602433708173204,0.7821089455272364,1.0,0.04119845711466117,0
C3-F21,3,0.04445732385023604,0.023950215119505194,0.06581112054927413,0.6951524237881059,1.0,0.042464133324383466,0
C3-F35,3,0.04387059530549047,0.019695938066141453,0.06999579657995658,0.6816591704147926,1.0,0.04072235762318564,0
C6-F17,6,0.04366132477280932,-0.006714958074162779,0.0928207641215065,0.5942028985507246,1.0,0.040109084226947436,0
C5-F31,5,0.04363241688833355,0.024872390996878754,0.06320342791050416,0.7321339330334833,1.0,0.040982627158738585,0
C5-F19,5,0.04336159629878365,0.006994253386899139,0.08145115236558413,0.6466766616691654,1.0,0.03901873666316214,0
C6-F22,6,0.0417413120068695,-0.016907019321548342,0.09336677154616248,0.56071964017991,1.0,0.03697116926197143,0
C5-F20,5,0.039871192449666006,0.017992139157148417,0.05935056928101614,0.8190904547726137,1.0,0.03837381054026119,0
C5-F12,5,0.03980665905117093,0.025438981442287928,0.05433003661983872,0.9250374812593704,1.0,0.03812340926341586,0
C5-F29,5,0.0371833125925006,0.01886218058572431,0.057897586554293355,0.904047976011994,1.0,0.036013644721245394,0
C3-F34,3,0.036383478522055465,0.01802758713009477,0.05469678889277018,0.9290354822588706,1.0,0.03393627739657122,0
C5-F23,5,0.035034506921574046,0.011735930319076366,0.0596008460701426,0.8865567216391804,1.0,0.033050085899535786,0
C3-F18,3,0.03208026390069069,0.012221467815046528,0.051972458617663836,0.9615192403798101,1.0,0.029419886250433416,0
C3-F25,3,0.031913974690943384,0.012502999804450736,0.050989134967866334,0.967016491754123,1.0,0.026634246993499935,0
C5-F36,5,0.03053790946565793,0.01339935569597126,0.04724906150442938,0.9865067466266867,1.0,0.028652479160455317,0
C3-F17,3,0.02854662193903951,0.008110234882001082,0.04835878396414895,0.9805097451274363,1.0,0.02443147143083519,0
C5-F10,5,0.027332753424042813,0.01078974158326607,0.04057308693610883,0.9980009995002499,1.0,0.025666660493619754,0
C3-F32,3,0.024973014934801432,-0.008127005666914544,0.05668990056537394,0.9260369815092454,1.0,0.019807689527085993,0
C5-F32,5,0.022367731568229427,-0.005036465730223043,0.05366409723732166,0.9750124937531235,1.0,0.020708823793370478,0
C6-F06,6,0.021923532730018746,-0.020476408558999053,0.06609116775807647,0.8865567216391804,1.0,0.01628529691287494,0
C5-F15,5,0.02169220019174712,0.0026631359673295334,0.042198666102788655,0.9980009995002499,1.0,0.020605034358516638,0
C6-F07,6,0.014407197194313524,-0.06522569330278993,0.08874536121746297,0.8075962018990505,1.0,0.012369650940428661,0
C3-F28,3,0.012171415497912782,-0.0079879086124424,0.033526785195919416,1.0,1.0,0.00840853050803103,0
C5-F24,5,0.010531284346210645,-0.004097189570697899,0.025842650118985414,1.0,1.0,0.00822755247142782,0
C5-F08,5,0.008886016447853903,-0.005013361089637707,0.02220620770138539,1.0,1.0,0.007748721196418464,0
C5-F34,5,0.008283546899450732,-0.01924647122668313,0.0351749060843184,0.999000499750125,1.0,0.0051871433346534985,0
C3-F38,3,0.005391180128875788,-0.016062680160476614,0.02630360723231827,1.0,1.0,0.0012692500240610448,0
C5-F11,5,0.004285978665438687,-0.010610922378501102,0.020040986525845846,1.0,1.0,0.0005538855607861523,0
C5-F05,5,0.0017192919052592469,-0.01601578721452878,0.02118616892664998,1.0,1.0,-0.0004570027821480876,0
C6-F08,6,0.00045620686155476277,-0.04784191470187926,0.07645685004572539,0.9765117441279361,1.0,-0.004382026949477975,0
C6-F21,6,-0.005059760698280625,-0.06532387605105298,0.05936508612393398,0.9655172413793104,1.0,-0.009206573969541767,0
C5-F03,5,-0.01436742852183277,-0.060436923490501844,0.030852557547951586,0.9980009995002499,1.0,-0.01755547289096327,0
C5-F28,5,-0.014692696716334767,-0.03859535048963331,0.010195050877419376,1.0,1.0,-0.016420759096136626,0
C6-F13,6,-0.014960373864388869,-0.0626320183041522,0.029075293929517885,0.9970014992503748,1.0,-0.018419452804500518,0
C6-F05,6,-0.016759118680383923,-0.05650193650294968,0.025126521560878995,0.999000499750125,1.0,-0.02043909771895235,0
C5-F37,5,-0.01730201306147304,-0.0353891397933202,-0.00039240198925019973,1.0,1.0,-0.018070124251853566,0
C3-F13,3,-0.017538912002627156,-0.035268226261954035,0.00011125831690206977,1.0,1.0,-0.02198181277051047,0
C5-F14,5,-0.02249169945966109,-0.04479534899847545,0.0009983614649031697,1.0,1.0,-0.02515590707893579,0
C3-F11,3,-0.026696349315204298,-0.04250439098837677,-0.011495421587891276,1.0,1.0,-0.03464579464951977,0
C5-F06,5,-0.027686339993266754,-0.04060863989046854,-0.014926267893463184,1.0,1.0,-0.03290871736468303,0
C3-F20,3,-0.034565726260585246,-0.050623804182032585,-0.018449453891462516,1.0,1.0,-0.04050895619646946,0
C5-F22,5,-0.038319106065753394,-0.05969286069238789,-0.019178859707640956,1.0,1.0,-0.04222595916652937,0
C3-F10,3,-0.044686537652479645,-0.059986884874628096,-0.02783237178699202,1.0,1.0,-0.04967819700018457,0
C6-F09,6,-0.051512579679987146,-0.09880071502778026,-0.0027616462971057614,1.0,1.0,-0.05514778603688719,0
C3-F04,3,-0.061777191570010985,-0.10372695766085786,-0.018564397128483935,1.0,1.0,-0.07114950407897586,0
C3-F01,3,-0.08301155573793603,-0.10803803903227566,-0.056302245250288464,1.0,1.0,-0.08654085932699644,0
C6-F01,6,-0.09074828889957648,-0.13469029291116472,-0.04628376942364158,1.0,1.0,-0.09613059174973028,0
C5-F02,5,-0.10091455066068297,-0.11849287520860241,-0.08138906610902281,1.0,1.0,-0.10633260894001362,0
C3-F02,3,-0.12617434661378896,-0.1423174174002127,-0.10891910078233695,1.0,1.0,-0.13305503744476033,0
